gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	time1_residual_logFC	time1_fdr	time1_significant	time1_response
ARNT	-0.357206730028814	-0.427370910547284	0.99185195319931	-0.0701641805184694	0.995887152357973	FALSE	None
AXIN1	0.281027161108919	0.210634050739994	0.710515520801532	-0.0703931103689253	0.911409722109242	FALSE	None
SIX1	0.269719778662654	0.198126738659704	0.852638154850037	-0.0715930400029502	0.967054671953075	FALSE	None
CDKL3	-0.0856959118560353	-0.157451467055101	0.862160641566881	-0.0717555551990661	0.970717364683878	FALSE	None
CALB1	0.536753095195789	0.464368937574787	0.506231587263128	-0.0723841576210017	0.819802859163648	FALSE	None
ARHGAP22	0.104690999781973	0.0321298002335931	0.288223248321962	-0.0725611995483796	0.704292056295646	FALSE	None
DVL1	0.271889057016014	0.199062339278415	0.975319083749262	-0.0728267177375986	0.994087570689209	FALSE	None
CASKIN1	-0.134127548961292	-0.208388469053812	0.991767389429933	-0.0742609200925204	0.995887152357973	FALSE	None
FNDC3B	-0.284097096019023	-0.359370069749517	0.814269220991486	-0.0752729737304937	0.942596828052058	FALSE	None
MYBL1	0.335358118802742	0.259782691010472	0.942451994723159	-0.0755754277922693	0.987839347747934	FALSE	None
DHX58	-0.338627543216613	-0.414516785793495	0.767049595269156	-0.0758892425768824	0.930717011368868	FALSE	None
PRKAR1A	-0.143751206715612	-0.219912532472938	0.99185195319931	-0.0761613257573255	0.995887152357973	FALSE	None
KLHL9	0.548822596593799	0.472537155787058	0.587992653723386	-0.0762854408067412	0.857663043374301	FALSE	None
NLGN1	0.15149736390971	0.0719706319742029	0.782704652224925	-0.0795267319355067	0.93319569163822	FALSE	None
NDE1	-0.75079477818782	-0.830369143811697	0.584735951949007	-0.0795743656238773	0.857663043374301	FALSE	None
CLCN4	1.25640215682347	1.17667133481843	0.602179893814338	-0.0797308220050448	0.864058126705689	FALSE	None
PIEZO1	0.296508898341315	0.215316103271233	0.788651012571809	-0.0811927950700819	0.936665398954391	FALSE	None
AP3B2	-0.424283937100603	-0.506116580113517	0.975559196195001	-0.0818326430129137	0.994087570689209	FALSE	None
RANBP10	-0.151402008598241	-0.233304501870512	0.749129867767738	-0.0819024932722714	0.924561612042324	FALSE	None
RBBP7	-0.390239541079145	-0.472633005893574	0.577349677329465	-0.0823934648144287	0.857663043374301	FALSE	None
UNC13D	-0.577349865826754	-0.659859266658228	0.407115953422494	-0.0825094008314746	0.774877742907577	FALSE	None
PAFAH1B3	0.531538582765781	0.448386123867886	0.814269220991486	-0.0831524588978954	0.942596828052058	FALSE	None
PDZD2	0.0164797946103293	-0.0673172976038724	0.587992653723386	-0.0837970922142016	0.857663043374301	FALSE	None
IGF2BP3	0.348459112497069	0.263255256528152	0.782704652224925	-0.0852038559689164	0.93319569163822	FALSE	None
HSPA12B	-0.620427593495638	-0.706121712825681	0.804555357260071	-0.0856941193300429	0.941967872264527	FALSE	None
ZNF703	-0.00118970884537735	-0.0871397221959933	0.560083049554513	-0.0859500133506159	0.851160693534814	FALSE	None
ANK2	0.198870509983388	0.112590526492217	0.705414168897006	-0.0862799834911709	0.907696646943592	FALSE	None
PPFIA3	0.211697504811791	0.124762583089493	0.926767514801739	-0.0869349217222977	0.987839347747934	FALSE	None
FAM117B	0.513299724450989	0.422729769650804	0.587992653723386	-0.0905699548001853	0.857663043374301	FALSE	None
RABGAP1L	-1.22358153299777	-1.3149448156271	0.877033074527421	-0.0913632826293247	0.977235258481228	FALSE	None
RBMS1	0.41154719870057	0.320116239487646	0.584674774320253	-0.0914309592129241	0.857663043374301	FALSE	None
PLK2	-0.0789566851177043	-0.17062512874348	0.894378126272837	-0.0916684436257759	0.984533994487672	FALSE	None
MYB	0.303504322300963	0.211771783342907	0.705414168897006	-0.0917325389580564	0.907696646943592	FALSE	None
DYNLL2	0.246044713949966	0.152584361768257	0.47047437745231	-0.0934603521817093	0.804268709664809	FALSE	None
DUSP15	-0.722080480012643	-0.816577285355787	0.917853878118367	-0.0944968053431432	0.987839347747934	FALSE	None
TTYH2	0.244773916863471	0.149862467610246	0.519439475094657	-0.0949114492532252	0.829221620008806	FALSE	None
EXOC6	0.247092680405056	0.149367765489102	0.705414168897006	-0.0977249149159531	0.907696646943592	FALSE	None
MOB1B	0.0106431975928183	-0.0875870321498606	0.480345250423796	-0.0982302297426789	0.804268709664809	FALSE	None
ATP9B	0.0761636988377886	-0.0223907581964629	0.705414168897006	-0.0985544570342516	0.907696646943592	FALSE	None
SMURF2	0.667948214651694	0.568219122281178	0.958886838068119	-0.0997290923705155	0.988928256956477	FALSE	None
PARP6	0.120328033415265	0.0201763695154558	0.725866501825337	-0.100151663899809	0.916886971943047	FALSE	None
EBF3	0.354992780715047	0.254745803377391	0.878244652881427	-0.100246977337657	0.977235258481228	FALSE	None
SEC31A	0.17415801917031	0.0736785597476783	0.587992653723386	-0.100479459422632	0.857663043374301	FALSE	None
DNMBP	0.215503069208433	0.114675189214681	0.602179893814338	-0.100827879993752	0.864058126705689	FALSE	None
SGMS2	0.16394004549354	0.0615141346904952	0.587992653723386	-0.102425910803045	0.857663043374301	FALSE	None
NDFIP2	0.537346527005116	0.434006767613219	0.602179893814338	-0.103339759391897	0.864058126705689	FALSE	None
MVB12B	0.428443622907003	0.324218342830348	0.942451994723159	-0.104225280076655	0.987839347747934	FALSE	None
TMUB2	-0.135189510992202	-0.240579076491314	0.222093193036212	-0.105389565499112	0.623293380086785	FALSE	None
NOTCH1	0.132307236462825	0.0261315777023746	0.675265661581359	-0.106175658760451	0.899868063057665	FALSE	None
KDM4C	0.161317119569066	0.0528431110444723	0.934264347261701	-0.108474008524593	0.987839347747934	FALSE	None
CDK3	-0.363514459009977	-0.472862071721315	0.577266846055465	-0.109347612711338	0.857663043374301	FALSE	None
GALNT10	-0.0810342083486609	-0.190588183215846	0.95927643725843	-0.109553974867185	0.988928256956477	FALSE	None
EBF1	0.0547484071781094	-0.0552636938976383	0.75148727461787	-0.110012101075748	0.924561612042324	FALSE	None
AUH	0.118930622123532	0.00878885399764278	0.804388823378566	-0.110141768125889	0.941967872264527	FALSE	None
SLC35D2	0.167369632946754	0.0568626962007306	0.675265661581359	-0.110506936746024	0.899868063057665	FALSE	None
VPS13C	0.104231602734772	-0.00706748807786819	0.705414168897006	-0.11129909081264	0.907696646943592	FALSE	None
UBE2V2	-0.334395314277585	-0.445992279394164	0.991772978165766	-0.111596965116579	0.995887152357973	FALSE	None
