gene	hap1_time1_n_observed	hap1_time2_n_observed	torin_time1_n_observed	torin_time2_n_observed
TPST1	24	24	24	24
TRAF3	24	24	24	24
TRAK1	24	24	24	24
TRIM35	24	24	24	24
TSPAN13	24	24	24	24
TTC7A	24	24	24	24
TTC39A	24	24	24	24
TTYH2	24	24	24	24
TWF1	24	24	24	24
TXNRD1	24	24	24	24
UAP1	24	24	24	24
UBE2Q1	24	24	24	24
UBQLN1	24	24	24	24
UBR1	24	24	24	24
UCHL1	24	24	24	24
UCK1	24	24	24	24
ULK1	24	24	24	24
UNC5B	24	24	24	24
UNC119	24	24	24	24
UNK	24	24	24	24
USP2	24	24	24	24
USP16	24	24	24	24
USP31	24	24	24	24
USP35	24	24	24	24
VAPA	24	24	24	24
VASH1	24	24	24	24
VPS13A	24	24	24	24
VPS37B	24	24	24	24
WASF1	24	24	24	24
WIPI1	24	24	24	24
WSB1	24	24	24	24
WWC1	24	24	24	24
XYLT1	24	24	24	24
YIF1A	24	24	24	24
YIPF1	24	24	24	24
ZCCHC11	24	24	24	24
ZDHHC14	24	24	24	24
ZFR	24	24	24	24
ZFYVE16	24	24	24	24
ZMIZ1	24	24	24	24
ZNF503	24	24	24	24
SLC16A3	24	24	24	24
CTNNB1	24	24	24	24
PEA15	24	24	24	24
RUNX1	24	24	24	24
SMARCA4	24	24	24	24
KDM4C	24	24	24	24
KDM6B	24	24	24	24
SRRM2	24	24	24	24
TRA2B	24	24	24	24
PAIP2	24	24	24	24
EIF4E2	24	24	24	24
EP300	24	24	24	24
BCL2L2	24	24	24	24
MCL1	24	24	24	24
PARP2	24	24	24	24
MAPK3	24	24	24	24
ABHD12B	24	24	24	24
ABL2	24	24	24	24
WDR20	24	24	24	24
HNRNPLL	24	24	24	24
TMED8	24	24	24	24
ACSL6	24	24	24	24
ACTR1B	24	24	24	24
ACVR2B	24	24	24	24
ADAMTS6	24	24	24	24
ADAMTSL3	24	24	24	24
ADAP2	24	24	24	24
ADSSL1	24	24	24	24
AGPAT4	24	24	24	24
AHCYL2	24	24	24	24
AHNAK2	24	24	24	24
AHSA2	24	24	24	24
WTIP	24	24	24	24
AK5	24	24	24	24
C10orf90	24	24	24	24
AMOTL2	24	24	24	24
ANK3	24	24	24	24
ANKRD12	24	24	24	24
ANO5	24	24	24	24
ANXA6	24	24	24	24
AP2B1	24	24	24	24
AP1G2	24	24	24	24
AP2A2	24	24	24	24
AP3B2	24	24	24	24
APBA3	24	24	24	24
APBB3	24	24	24	24
APH1B	24	24	24	24
APLP2	24	24	24	24
ARAP3	24	24	24	24
ARF5	24	24	24	24
ARFGEF2	24	24	24	24
ARHGAP24	24	24	24	24
ARHGAP33	24	24	24	24
ARHGEF12	24	24	24	24
ARHGEF7	24	24	24	24
DNMBP	24	24	24	24
ARID1B	24	24	24	24
ARL8B	24	24	24	24
ARNT2	24	24	24	24
ARPC5L	24	24	24	24
ENSA	24	24	24	24
ATAD2B	24	24	24	24
JDP2	24	24	24	24
ATF6B	24	24	24	24
ATG4B	24	24	24	24
ATG4D	24	24	24	24
ATG16L2	24	24	24	24
ATP6V0A4	24	24	24	24
TCIRG1	24	24	24	24
ATP6V1C2	24	24	24	24
