gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	time1_residual_logFC	time1_fdr	time1_significant	time1_response
FBXW7	0.718811927544155	2.07431271961099	2.65476137060469e-05	1.35550079206684	0.00173830783266777	TRUE	Suppressor
KIF18A	-3.52187243103777	-2.16784895732431	0.0318017267650608	1.35402347371346	0.233195942793009	FALSE	None
MRPS7	-5.13989815520133	-3.78864376175372	0.0927660180076782	1.35125439344761	0.416283028685035	FALSE	None
RMND1	-1.40975501579499	-0.0610689423067919	2.44975551439966e-07	1.34868607348819	6.32717410358002e-05	TRUE	Suppressor
PIK3C3	-3.78640067921851	-2.45506270401872	0.106445693561888	1.3313379751998	0.436774959725698	FALSE	None
ZNRD1	-3.27461805988754	-1.94427564763322	0.0110379365526677	1.33034241225432	0.124002795761941	FALSE	None
GATC	-3.92862825675259	-2.59881342177669	0.0555296397209032	1.32981483497589	0.314059969662383	FALSE	None
MSL1	-0.964935628358303	0.338144588369478	0.0485384890284786	1.30308021672778	0.294974425481565	FALSE	None
PAXIP1	-1.28052095546205	0.0193337598054308	5.80205253410446e-07	1.29985471526748	0.000112390592629382	TRUE	Suppressor
C16orf72	0.0946988424079323	1.39449594601898	0.00987482265059421	1.29979710361105	0.116517894676681	FALSE	None
F2R	-0.710953811285445	0.588609222426147	0.00150651714877764	1.29956303371159	0.0336721068493618	FALSE	None
MRPL48	-3.01875948935257	-1.72912323199356	0.0502223733334571	1.28963625735902	0.295175491311305	FALSE	None
SUGP1	-2.54318259596276	-1.25362150203258	0.105700400686023	1.28956109393018	0.436774959725698	FALSE	None
HNRNPL	-4.26170547902348	-2.98823156506094	0.00568034180733843	1.27347391396254	0.0831210288547636	FALSE	None
TOMM70	-3.17517527218224	-1.90450335972843	0.111910874759613	1.27067191245381	0.452716378313284	FALSE	None
NDUFS7	-4.03597914538356	-2.76741246159813	0.0771373532015156	1.26856668378543	0.379081982065376	FALSE	None
WDR73	-1.38179229539255	-0.113501340682927	0.0765090686213677	1.26829095470962	0.376790953411799	FALSE	None
COQ7	-1.69346756411947	-0.426854137066486	0.00864180912639655	1.26661342705299	0.105725712180573	FALSE	None
SDHA	-2.96616977408581	-1.70713673536763	0.0234961466635103	1.25903303871818	0.186405436584743	FALSE	None
MTERF4	-4.10401180918725	-2.84553503979508	0.000825212988744946	1.25847676939217	0.0229448830857194	FALSE	None
SUGP2	-0.517034782591645	0.738861626984149	0.000264302833103572	1.25589640957579	0.0104130836533772	FALSE	None
FAAP100	-2.27035010966797	-1.01676491218321	0.00544695270326877	1.25358519748476	0.0822171529788848	FALSE	None
ZNF281	0.0226853602374089	1.26499582877808	0.00952347529031665	1.24231046854067	0.115298532876776	FALSE	None
PDCD11	-4.46353792840396	-3.2241217226037	0.0420648881027219	1.23941620580026	0.267668884316674	FALSE	None
ATF7IP	-0.346925304724325	0.887162963534565	1.28934500757877e-08	1.23408826825889	9.9902749003895e-06	TRUE	Suppressor
CLK3	-0.91394712360799	0.318282695002057	2.65476137060469e-05	1.23222981861005	0.00173830783266777	TRUE	Suppressor
RRP15	-2.70734161886418	-1.48165090396529	0.0294964746728803	1.22569071489889	0.21870671571646	FALSE	None
CIT	-4.61627399913216	-3.39398147246572	0.0158576169868192	1.22229252666645	0.150080700585312	FALSE	None
VPS29	-4.74253690889384	-3.52560466041256	0.0112560077030628	1.21693224848128	0.124002795761941	FALSE	None
NDUFB9	-4.0521623337764	-2.84451329791939	0.0921840277497293	1.20764903585702	0.415036469805044	FALSE	None
SCAF1	-0.752331084123907	0.452546293007798	0.0778650466196488	1.20487737713171	0.381208841063562	FALSE	None
ZFC3H1	-0.966300742582046	0.230242041966009	0.0463893078669541	1.19654278454805	0.282800854808085	FALSE	None
METAP2	-3.20606543670438	-2.01671277480109	0.00656132111352801	1.1893526619033	0.0890229609972143	FALSE	None
EDC3	-1.36124266288485	-0.172805122577426	1.79218956053449e-06	1.18843754030742	0.000287306526445684	TRUE	Suppressor
WDR82	-5.27147291700649	-4.08854144968743	0.0733669018850935	1.18293146731906	0.366996510760824	FALSE	None
ADNP	0.573437614312906	1.7520109278902	8.81911985183879e-06	1.17857331357729	0.000891306265026055	TRUE	Suppressor
KDSR	-4.73938606963847	-3.56192014969951	0.0563100789482488	1.17746591993896	0.316166131679238	FALSE	None
PAN3	0.363154486270388	1.53153656447098	3.43223641017469e-05	1.16838207820059	0.00201980595834204	TRUE	Suppressor
TRAPPC1	-4.07840692222267	-2.9178699071985	0.0639118117728812	1.16053701502417	0.345495363874564	FALSE	None
