gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	hap1_time2_observed_logFC	torin_time2_observed_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_significant	time2_significant	time1_response	time2_response
GSTO1	0.575496354369679	0.379354749448282	0.0975257598239064	0.586848453260333	0.532285367945438	0.80633377841523	-0.196141604921396	-0.0545630853148947	0.418649360499853	0.944957331951703	FALSE	FALSE	None	None
RNMT	-5.71044094616	-5.87947991950076	0.739209655128595	-5.32970267839578	-5.69705299978443	0.467226436734019	-0.169038973340763	-0.367350321388651	0.94183353362379	0.772968608774238	FALSE	FALSE	None	None
FERMT1	0.287996486562743	0.269774322981065	0.934887200362667	-0.139759676911583	-0.203273341041425	0.65287003041307	-0.0182221635816777	-0.0635136641298421	0.992983914664391	0.880531700432365	FALSE	FALSE	None	None
ATP6V0E1	0.320000085095799	0.0797442107117151	0.575468379776696	0.277861890922477	-0.0264406694003341	0.533647306759947	-0.240255874384084	-0.304302560322811	0.878316643986165	0.820350879618762	FALSE	FALSE	None	None
VMP1	-3.64835588515877	-3.98115380628673	0.134163653230269	-3.49724383878012	-4.3690437412616	0.0453209504964344	-0.332797921127955	-0.871799902481481	0.492492783797252	0.230840412821733	FALSE	FALSE	None	None
RALBP1	0.0204823108826019	0.161455529459068	0.106445693561888	0.0426816143995171	-0.00654239860843845	0.594883930583728	0.140973218576466	-0.0492240130079556	0.436774959725698	0.850696829678176	FALSE	FALSE	None	None
EXOC7	-2.73525521085567	-2.06727523010479	0.187268401403014	-3.67007062982941	-3.48966207543709	0.743702065375981	0.667979980750881	0.180408554392325	0.569771464739928	0.918562938876975	FALSE	FALSE	None	None
NAA25	-3.59919793950609	-4.62316366791579	0.122379965337813	-3.61279017362342	-4.85826685807863	0.142696671473087	-1.0239657284097	-1.24547668445521	0.469543048296208	0.433876275787038	FALSE	FALSE	None	None
THAP4	1.02116557704385	1.04421440383006	0.682673807575057	0.55591138289353	1.25505295877675	0.00656805240310701	0.0230488267862092	0.699141575883216	0.922065813892051	0.0727020848143917	FALSE	FALSE	None	None
AMFR	0.274059048746771	0.429714950028777	0.324548174828994	0.176838486514779	0.00368150414094874	0.774840301727361	0.155655901282006	-0.17315698237383	0.702432246173182	0.931290734935497	FALSE	FALSE	None	None
PCCB	0.139174299001661	-0.405298052599699	0.366875192434742	0.279029170757159	-0.490417169753637	0.0555296397209032	-0.544472351601361	-0.769446340510796	0.740922141454873	0.255096141366086	FALSE	FALSE	None	None
CHEK1	-3.1571636208518	-4.28107720692209	0.0273696753958228	-3.62439960840523	-4.28250872451856	0.128284526752538	-1.12391358607029	-0.658109116113329	0.208251425393094	0.405710724403093	FALSE	FALSE	None	None
