gene1	gene2	time1_n_observed	time2_n_observed	n_expected_gene1_cas9	n_expected_gene2_cpf1
HEATR5A	HEATR5B	15	15	3	5
HEATR5B	HEATR5A	15	15	3	5
HERC3	HERC4	15	15	3	5
HERC4	HERC3	15	15	3	5
HEXB	HEXA	15	15	3	5
HEXA	HEXB	15	15	3	5
HIP1	HIP1R	15	15	3	5
HIP1R	HIP1	15	15	3	5
HNRNPH3	HNRNPF	15	15	3	5
HNRNPF	HNRNPH3	15	15	3	5
HNRNPR	SYNCRIP	15	15	3	5
SYNCRIP	HNRNPR	15	15	3	5
HOOK2	HOOK1	15	15	3	5
HOOK1	HOOK2	15	15	3	5
HOXB2	HOXA2	15	15	3	5
HOXA2	HOXB2	15	15	3	5
HOXB7	HOXA7	15	15	3	5
HOXA7	HOXB7	15	15	3	5
VSNL1	HPCAL4	6	6	3	2
HPCAL4	VSNL1	15	15	3	5
HSF1	HSF4	15	15	3	5
HSF4	HSF1	15	15	3	5
HSP90AB1	HSP90AA1	15	15	3	5
HSP90AA1	HSP90AB1	15	15	3	5
HSPA12A	HSPA12B	15	15	3	5
HSPA12B	HSPA12A	15	15	3	5
ICA1L	ICA1	15	15	3	5
ICA1	ICA1L	15	15	3	5
ID1	ID2	6	6	3	2
ID2	ID1	15	15	3	5
IFRD2	IFRD1	15	15	3	5
IFRD1	IFRD2	15	15	3	5
IGF2BP3	IGF2BP1	15	15	3	5
IGF2BP1	IGF2BP3	15	15	3	5
PDZD2	IL16	15	15	3	5
IL16	PDZD2	15	15	3	5
IMPDH2	IMPDH1	12	12	3	4
IMPDH1	IMPDH2	15	15	3	5
INPP4A	INPP4B	15	15	3	5
INPP4B	INPP4A	15	15	3	5
ISL2	ISL1	15	15	3	5
ISL1	ISL2	15	15	3	5
ITCH	WWP2	15	15	3	5
WWP2	ITCH	15	15	3	5
ITGA4	ITGA9	15	15	3	5
ITGA9	ITGA4	15	15	3	5
JAG1	JAG2	15	15	3	5
JAG2	JAG1	15	15	3	5
KCND3	KCND2	15	15	3	5
KCND2	KCND3	15	15	3	5
KCTD5	KCTD2	15	15	3	5
KCTD2	KCTD5	9	9	3	3
KDM2A	KDM2B	15	15	3	5
KDM2B	KDM2A	15	15	3	5
KHDRBS1	KHDRBS3	15	15	3	5
KHDRBS3	KHDRBS1	15	15	3	5
KIAA1217	SRCIN1	15	15	3	5
SRCIN1	KIAA1217	15	15	3	5
KIF1C	KIF1B	15	15	3	5
KIF1B	KIF1C	15	15	3	5
KIF5B	KIF5C	15	15	3	5
KIF5C	KIF5B	15	15	3	5
KIF16B	STARD9	15	15	3	5
STARD9	KIF16B	15	15	3	5
KIFC3	KIFC2	15	15	3	5
KIFC2	KIFC3	15	15	3	5
KLF10	KLF11	15	15	3	5
KLF11	KLF10	15	15	3	5
KLF13	KLF9	15	15	3	5
KLF9	KLF13	12	12	3	4
KLHL2	KLHL3	15	15	3	5
KLHL3	KLHL2	15	15	3	5
KLHL23	KLHL11	15	15	3	5
KLHL11	KLHL23	15	15	3	5
KLHL9	KLHL26	15	15	3	5
KLHL26	KLHL9	15	15	3	5
KSR1	KSR2	15	15	3	5
KSR2	KSR1	15	15	3	5
LARP1	LARP1B	15	15	3	5
LARP1B	LARP1	15	15	3	5
LBX2	LBX1	15	15	3	5
LBX1	LBX2	15	15	3	5
LCOR	LCORL	15	15	3	5
LCORL	LCOR	15	15	3	5
